code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,total_clicks,active_days,activity_rows,assessments_recorded,assessments_submitted,average_score,weighted_score,is_withdrawn,is_successful,is_completed,submission_rate,at_risk,outcome_group
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159,?,268,934.0,40.0,196.0,5.0,5.0,82.0,82.4,0,1,1,1.0,0,Successful
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53,?,268,1435.0,80.0,430.0,5.0,5.0,66.4,65.4,0,1,1,1.0,0,Successful
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-92,12,268,281.0,12.0,76.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1,Withdrawn
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52,?,268,2158.0,123.0,663.0,5.0,5.0,76.0,76.3,0,1,1,1.0,0,Successful
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176,?,268,1034.0,70.0,352.0,5.0,5.0,54.4,55.0,0,1,1,1.0,0,Successful
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110,?,268,2445.0,143.0,723.0,5.0,5.0,68.0,66.9,0,1,1,1.0,0,Successful
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67,?,268,1492.0,90.0,355.0,5.0,5.0,68.0,67.8,0,1,1,1.0,0,Successful
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29,?,268,1428.0,105.0,531.0,5.0,5.0,72.4,72.5,0,1,1,1.0,0,Successful
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33,?,268,1894.0,122.0,593.0,5.0,5.0,71.4,71.2,0,1,1,1.0,0,Successful
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass,-179,?,268,3158.0,142.0,904.0,5.0,5.0,78.0,79.0,0,1,1,1.0,0,Successful
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103,?,268,1319.0,90.0,403.0,5.0,5.0,74.0,74.0,0,1,1,1.0,0,Successful
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-47,?,268,1732.0,120.0,526.0,5.0,5.0,73.2,73.7,0,1,1,1.0,0,Successful
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-59,?,268,1102.0,61.0,345.0,5.0,5.0,78.6,80.8,0,1,1,1.0,0,Successful
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68,?,268,3388.0,148.0,981.0,5.0,5.0,76.0,76.4,0,1,1,1.0,0,Successful
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67,?,268,2737.0,175.0,760.0,5.0,5.0,71.6,71.2,0,1,1,1.0,0,Successful
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180,96,268,171.0,11.0,54.0,2.0,2.0,67.0,20.2,1,0,0,1.0,1,Withdrawn
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95,?,268,1053.0,46.0,205.0,5.0,5.0,55.6,53.5,0,1,1,1.0,0,Successful
AAA,2013J,71361,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,-130,?,268,2327.0,135.0,728.0,5.0,5.0,80.4,79.69999999999999,0,1,1,1.0,0,Successful
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50,?,268,116.0,14.0,72.0,4.0,4.0,48.5,32.8,0,0,1,1.0,0,Unsuccessful
