code_module,code_presentation,learners,successful_completion_rate,completion_rate,withdrawal_rate,average_clicks,median_clicks,average_active_days,average_score,average_submission_rate,at_risk_learners
AAA,2013J,383,0.7258485639686684,0.8433420365535248,0.1566579634464752,1693.1958224543082,1216.0,88.96083550913838,65.28703220191471,0.9495213228894691,64
AAA,2014J,365,0.6931506849315069,0.8191780821917808,0.18082191780821918,1638.7890410958903,1067.0,84.11780821917809,63.20068493150685,0.9301369863013699,72
BBB,2013B,1767,0.45444255800792305,0.7142048670062252,0.28579513299377474,762.8245614035088,394.0,44.50933786078099,59.66025923394344,0.7716439395980992,612
BBB,2013J,2237,0.47921323200715243,0.7121144389807779,0.2878855610192222,616.2968261063925,286.0,41.81895395619133,58.86303615050821,0.7638012089733145,736
BBB,2014B,1613,0.45071295722256666,0.6962182269063856,0.30378177309361437,516.9652820830751,239.0,34.779913205207684,57.73940270654468,0.7453599854715788,561
BBB,2014J,2292,0.5026178010471204,0.6732111692844677,0.3267888307155323,730.2547993019198,409.0,36.26221640488656,50.28047556719023,0.7806282722513089,802
CCC,2014B,1936,0.3424586776859504,0.5361570247933884,0.46384297520661155,975.8145661157025,452.5,44.96797520661157,45.84498188049324,0.7298668503213958,971
CCC,2014J,2498,0.4063250600480384,0.5688550840672538,0.4311449159327462,1118.0832666132906,578.5,52.55484387510008,56.164422808087735,0.7989758473445423,1115
DDD,2013B,1303,0.3914044512663085,0.6684574059861857,0.33154259401381425,1064.8250191864927,754.0,69.4113584036838,53.734948787462216,0.8148010469959818,488
DDD,2013J,1938,0.4277605779153767,0.6486068111455109,0.35139318885448917,906.7151702786377,626.5,64.21929824561404,52.20571158287876,0.7758366504496536,757
DDD,2014B,1228,0.39006514657980457,0.6009771986970684,0.3990228013029316,771.707654723127,493.5,55.70358306188925,51.099575383899484,0.766678299984489,536
DDD,2014J,1803,0.43926788685524126,0.6411536328341653,0.35884636716583473,797.4215196894065,454.0,60.54464780920688,55.39426617013971,0.7897380027995669,682
EEE,2013J,1052,0.5788973384030418,0.7690114068441065,0.23098859315589354,1460.0313688212927,1128.5,63.65494296577947,62.602899239543724,0.7854087452471483,299
EEE,2014B,694,0.5144092219020173,0.7507204610951008,0.24927953890489912,1198.9020172910664,910.5,56.21902017291066,60.86107108549472,0.7712536023054755,218
EEE,2014J,1188,0.5757575757575758,0.7424242424242424,0.25757575757575757,1360.4680134680134,1117.5,64.60606060606061,63.89688552188552,0.7859848484848485,358
FFF,2013B,1614,0.48451053283767037,0.7453531598513011,0.25464684014869887,2614.656133828996,2150.5,79.05080545229244,64.37487572664152,0.8461177762757688,464
FFF,2013J,2283,0.47963206307490147,0.7043363994743759,0.2956636005256242,2241.1033727551467,1633.0,71.49671484888304,61.44883104557875,0.8187284900819723,744
FFF,2014B,1500,0.436,0.692,0.308,1983.746,1442.0,64.13466666666666,59.984898917748914,0.8017714285714286,529
FFF,2014J,2365,0.4723044397463002,0.638477801268499,0.36152219873150104,2233.323044397463,1592.0,70.68414376321353,59.589966426573184,0.7781472227561023,898
GGG,2013J,952,0.6218487394957983,0.930672268907563,0.06932773109243698,534.7594537815127,448.0,33.983193277310924,67.14620890022675,0.8592436974789915,165
GGG,2014B,833,0.5738295318127251,0.879951980792317,0.12004801920768307,510.4021608643457,364.0,31.63625450180072,64.00668648411745,0.8269593551706397,185
GGG,2014J,749,0.5927903871829105,0.8317757009345794,0.16822429906542055,533.5487316421896,431.0,34.09212283044059,61.569860342891054,0.8037383177570093,182
