code_module,code_presentation,week,total_clicks,active_learners
AAA,2013J,-1,21100,578
AAA,2013J,0,28523,1039
AAA,2013J,1,33960,1213
AAA,2013J,2,38066,1293
AAA,2013J,3,44171,1491
AAA,2013J,4,23292,1125
AAA,2013J,5,19847,1137
AAA,2013J,6,20532,1033
AAA,2013J,7,19382,1010
AAA,2013J,8,22088,1202
AAA,2013J,9,13459,919
AAA,2013J,10,11627,887
AAA,2013J,11,11996,726
AAA,2013J,12,6830,456
AAA,2013J,13,8552,610
AAA,2013J,14,14013,853
AAA,2013J,15,13111,858
AAA,2013J,16,13968,884
AAA,2013J,17,17927,1115
AAA,2013J,18,15360,909
AAA,2013J,19,14313,881
AAA,2013J,20,11867,772
AAA,2013J,21,12605,781
AAA,2013J,22,12961,789
AAA,2013J,23,15632,827
AAA,2013J,24,19442,1001
AAA,2013J,25,16347,884
AAA,2013J,26,14001,827
AAA,2013J,27,12248,750
AAA,2013J,28,10140,617
AAA,2013J,29,10424,653
AAA,2013J,30,12673,845
AAA,2013J,31,18696,1061
AAA,2013J,32,16031,779
AAA,2013J,33,14537,771
AAA,2013J,34,14050,701
AAA,2013J,35,19861,981
AAA,2013J,36,2783,308
AAA,2013J,37,1071,206
AAA,2013J,38,790,211
AAA,2013J,39,218,89
AAA,2014J,-3,15828,405
AAA,2014J,-2,15315,645
AAA,2014J,-1,14623,684
AAA,2014J,0,18080,787
AAA,2014J,1,31428,1049
AAA,2014J,2,30645,1124
AAA,2014J,3,38980,1355
AAA,2014J,4,22054,1011
AAA,2014J,5,22003,980
AAA,2014J,6,18159,903
AAA,2014J,7,18901,933
AAA,2014J,8,21654,1073
AAA,2014J,9,12622,736
AAA,2014J,10,9760,693
AAA,2014J,11,9400,559
AAA,2014J,12,5916,346
AAA,2014J,13,7878,468
AAA,2014J,14,12666,733
AAA,2014J,15,13082,744
AAA,2014J,16,14479,826
AAA,2014J,17,18841,1013
AAA,2014J,18,12192,735
AAA,2014J,19,13340,793
AAA,2014J,20,14650,710
AAA,2014J,21,12806,663
AAA,2014J,22,11201,644
AAA,2014J,23,10930,709
AAA,2014J,24,14591,914
AAA,2014J,25,10617,749
AAA,2014J,26,10475,683
AAA,2014J,27,8342,583
AAA,2014J,28,8272,596
AAA,2014J,29,7644,590
AAA,2014J,30,10143,713
AAA,2014J,31,14724,940
AAA,2014J,32,12196,700
AAA,2014J,33,14748,743
AAA,2014J,34,14243,632
AAA,2014J,35,21593,797
AAA,2014J,36,1630,275
AAA,2014J,37,610,182
AAA,2014J,38,561,173
AAA,2014J,39,336,112
BBB,2013B,-1,19864,828
BBB,2013B,0,45160,2285
BBB,2013B,1,90339,3551
BBB,2013B,2,70888,3443
BBB,2013B,3,85698,4438
BBB,2013B,4,59053,3626
BBB,2013B,5,61017,3416
BBB,2013B,6,53164,2930
BBB,2013B,7,69409,3711
BBB,2013B,8,61128,3141
BBB,2013B,9,34591,2427
BBB,2013B,10,29029,2220
BBB,2013B,11,34386,2071
BBB,2013B,12,37796,2115
BBB,2013B,13,50687,2877
BBB,2013B,14,31604,2254
BBB,2013B,15,30613,2152
BBB,2013B,16,27576,1742
BBB,2013B,17,26531,1625
BBB,2013B,18,38641,2393
BBB,2013B,19,23352,1916
BBB,2013B,20,22126,1733
BBB,2013B,21,21790,1520
BBB,2013B,22,26379,1524
BBB,2013B,23,42033,2306
BBB,2013B,24,21296,1709
BBB,2013B,25,18041,1510
BBB,2013B,26,21355,1462
BBB,2013B,27,32962,2006
BBB,2013B,28,19284,1484
BBB,2013B,29,18444,1259
BBB,2013B,30,18787,1076
BBB,2013B,31,21312,1244
BBB,2013B,32,30320,1475
BBB,2013B,33,41456,1989
BBB,2013B,34,9594,903
BBB,2013B,35,2206,287
BBB,2013J,-3,11,1
BBB,2013J,-1,27928,1337
BBB,2013J,0,35585,2386
BBB,2013J,1,78736,3715
BBB,2013J,2,66529,3608
BBB,2013J,3,72890,4349
BBB,2013J,4,46961,3475
BBB,2013J,5,60694,3471
BBB,2013J,6,50941,3119
BBB,2013J,7,64419,3927
BBB,2013J,8,61155,3604
BBB,2013J,9,37597,2757
BBB,2013J,10,28192,2000
BBB,2013J,11,22651,1579
BBB,2013J,12,11155,944
BBB,2013J,13,27294,1892
BBB,2013J,14,59801,3516
BBB,2013J,15,41026,2998
BBB,2013J,16,28436,2500
BBB,2013J,17,24653,1967
BBB,2013J,18,28515,2287
BBB,2013J,19,43531,3082
BBB,2013J,20,22538,2302
BBB,2013J,21,23528,2073
BBB,2013J,22,24127,1965
BBB,2013J,23,31142,2130
BBB,2013J,24,55258,3242
BBB,2013J,25,24197,2083
BBB,2013J,26,23071,1896
BBB,2013J,27,18538,1639
BBB,2013J,28,17283,1375
BBB,2013J,29,22324,1679
BBB,2013J,30,45332,2972
BBB,2013J,31,23225,1901
BBB,2013J,32,21483,1666
BBB,2013J,33,19519,1335
BBB,2013J,34,23141,1503
BBB,2013J,35,45265,2527
BBB,2013J,36,10153,1087
BBB,2013J,37,4874,779
BBB,2013J,38,3808,644
BBB,2013J,39,1150,237
BBB,2014B,-1,13594,569
BBB,2014B,0,24007,1601
BBB,2014B,1,53378,2546
BBB,2014B,2,54546,2993
BBB,2014B,3,35924,2527
BBB,2014B,4,46940,2407
BBB,2014B,5,35061,2024
BBB,2014B,6,43668,2673
BBB,2014B,7,36542,2299
BBB,2014B,8,25141,1872
BBB,2014B,9,19787,1482
BBB,2014B,10,19874,1326
BBB,2014B,11,23582,1501
BBB,2014B,12,39172,2480
BBB,2014B,13,18222,1675
BBB,2014B,14,18803,1595
BBB,2014B,15,14486,1216
BBB,2014B,16,18507,1337
BBB,2014B,17,32145,2052
BBB,2014B,18,12898,1349
BBB,2014B,19,13583,1269
BBB,2014B,20,12008,1085
BBB,2014B,21,14578,1145
BBB,2014B,22,35284,2031
BBB,2014B,23,15546,1317
BBB,2014B,24,10861,1092
BBB,2014B,25,8704,864
BBB,2014B,26,11079,913
BBB,2014B,27,14408,1071
BBB,2014B,28,32004,1942
BBB,2014B,29,16588,1300
BBB,2014B,30,16318,1182
BBB,2014B,31,14030,922
BBB,2014B,32,26941,1578
BBB,2014B,33,4324,605
BBB,2014B,34,1332,260
BBB,2014J,-1,35470,1139
BBB,2014J,0,54851,2652
BBB,2014J,1,76274,3558
BBB,2014J,2,58521,3017
BBB,2014J,3,59173,3414
BBB,2014J,4,44837,3080
BBB,2014J,5,51840,2849
BBB,2014J,6,63039,2705
BBB,2014J,7,55874,2462
BBB,2014J,8,43747,3050
BBB,2014J,9,26857,2262
BBB,2014J,10,20731,1820
BBB,2014J,11,7367,632
BBB,2014J,12,19216,1182
BBB,2014J,13,47578,2341
BBB,2014J,14,70581,2307
BBB,2014J,15,54727,2285
BBB,2014J,16,61618,3142
BBB,2014J,17,49952,2359
BBB,2014J,18,48725,2350
BBB,2014J,19,43971,2114
BBB,2014J,20,54859,2148
BBB,2014J,21,56491,2416
BBB,2014J,22,71158,3200
BBB,2014J,23,38764,2069
BBB,2014J,24,38156,2051
BBB,2014J,25,33169,1575
BBB,2014J,26,30403,1373
BBB,2014J,27,39492,1779
BBB,2014J,28,42874,2019
BBB,2014J,29,62827,2929
BBB,2014J,30,28569,1616
BBB,2014J,31,28947,1615
BBB,2014J,32,27497,1411
BBB,2014J,33,32992,1507
BBB,2014J,34,85139,3009
BBB,2014J,35,4587,752
BBB,2014J,36,1411,421
BBB,2014J,37,1008,340
BBB,2014J,38,452,163
CCC,2014B,-2,24591,1676
CCC,2014B,-1,28220,2278
CCC,2014B,0,31831,2568
CCC,2014B,1,104726,4038
CCC,2014B,2,106927,3969
CCC,2014B,3,173488,4815
CCC,2014B,4,58297,3506
CCC,2014B,5,75157,4357
